"Message",Low,"Vytváření sestavení bylo zahájeno."
"Message",Low,"Projekt Unnamed_1 (výchozí cíle):"
"Message",Low,"Probíhá sestavení s verzí nástrojů 4.0."
"Message",Low,"Cíl PrintILCStartMessage v souboru C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets projektu C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\Unnamed_1 (cíl Build je na něm závislý):"
"Message",Low,"Probíhá použití úlohy IlcMessageTask ze sestavení C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe."
"Message",Low,"Úloha IlcMessageTask"
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Provádění úlohy IlcMessageTask je dokončeno."
"Message",Low,"Bylo dokončeno sestavování cíle PrintILCStartMessage v projektu Unnamed_1."
"Message",Low,"Cíl LogAppContextSwitches v souboru C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets projektu C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\Unnamed_1 (cíl SetMainTargetPaths je na něm závislý):"
"Message",Low,"Probíhá použití úlohy Message ze sestavení Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a."
"Message",Low,"Úloha Message"
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"Provádění úlohy Message je dokončeno."
"Message",Low,"Bylo dokončeno sestavování cíle LogAppContextSwitches v projektu Unnamed_1."
"Message",Low,"Cíl SetMainTargetPaths v souboru C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets projektu C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\Unnamed_1 (cíl CopyNativeExecutablesToOutput je na něm závislý):"
"Message",Low,"Bylo dokončeno sestavování cíle SetMainTargetPaths v projektu Unnamed_1."
"Message",Low,"Cíl GenerateFakeExe byl vynechán z důvodu podmínky vyhodnocené jako false; (!Exists('@(InputILTarget)')) bylo vyhodnoceno jako (!Exists('C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\obj\x86\Release\ilc\in\TestApp.exe'))."
"Message",Low,"Cíl InjectCoreLibTypeForwards byl vynechán z důvodu podmínky vyhodnocené jako false; ('$(UseSharedAssembliesInTocMode)' != 'true') bylo vyhodnoceno jako ('true' != 'true')."
"Message",Low,"Cíl InjectCoreLibTypeForwards byl vynechán z důvodu podmínky vyhodnocené jako false; ('$(UseSharedAssembliesInTocMode)' != 'true') bylo vyhodnoceno jako ('true' != 'true')."
"Message",Low,"Cíl PreResolveTransforms v souboru C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets projektu C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\Unnamed_1 (cíl RunILTransforms je na něm závislý):"
"Message",Low,"Probíhá vytváření úplného sestavení cíle PreResolveTransforms."
"Message",Low,"Výstupní soubor C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\obj\x86\Release\ilc\intermediate\PreMergeILTransformed\TestApp.exe neexistuje."
"Message",Low,"Probíhá použití úlohy MakeDir ze sestavení Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a."
"Message",Low,"Úloha MakeDir"
"Message",Normal,"Probíhá vytváření adresáře C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\obj\x86\Release\ilc\intermediate\PreMergeILTransformed\."
"Message",Low,"Provádění úlohy MakeDir je dokončeno."
"Message",Low,"Probíhá použití úlohy AssemblyClosureTask ze sestavení Microsoft.Build.ILTasks."
"Message",Low,"Úloha AssemblyClosureTask"
"Message",Low,"Provádění úlohy AssemblyClosureTask je dokončeno."
"Message",Low,"Probíhá použití úlohy ILTransformTask ze sestavení Microsoft.Build.ILTasks."
"Message",Low,"Úloha ILTransformTask"
"Message",Normal,"Running 'ResolveSelfReferences' transform, heap at 10 MB."
"Message",Normal,"Could not find symbols for assembly 'C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\obj\x86\Release\ilc\in\Microsoft.ApplicationInsights.dll'. Symbols should be placed in the same folder as the assembly."
"Message",Normal,"Could not find symbols for assembly 'C:\Users\olire\Documents\GitHub\MindSetUWP\examples\TestApp\TestApp\obj\x86\Release\ilc\in\Microsoft.ApplicationInsights.Extensibility.Windows.dll'. Symbols should be placed in the same folder as the assembly."
